@relation miRNA-weka.filters.supervised.instance.SMOTE-C0-K5-P66.6666666667-S1

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute class {real,pseudo}

@data
0.009901,-0.009824,-7.0844,3.0667,-78.333333,24.1,0.1375,16.129032,10.333333,-0.025355,0.967703,0.374985,1.740125,4.300901,4.080207,0.236228,0.686329,0.011407,0.559989,2.295456,real
0.009901,-0.008884,-4.5363,4.3498,-48.98,16.48,0.172043,16.216216,7.4,-0.022328,0.884778,0.351965,1.357927,4.328658,2.126272,0.276855,0.38287,0.005118,0.56524,5.826656,real
0.009901,-0.010108,-5.7573,2.9451,-68,28.166667,0.168675,12.903226,10.333333,-0.027063,0.982222,0.36686,1.831311,3.882301,2.276139,0.276059,0.293388,0.01601,0.687459,5.767979,real
0.009901,-0.008394,-4.4766,1.9659,-73.4,46.4,0.125,22.727273,11,-0.02442,0.993704,0.341635,1.748415,3.18087,2.17036,0.318543,0.28232,0.024973,0.732115,0.1693,real
0.009901,-0.009675,-6.4317,0.3666,-46.25,19.5,0.130952,12,6.25,-0.032509,0.98975,0.29455,1.952812,2.445035,2.442368,0.331505,0.389702,0.004282,0.422081,1.965859,real
0.009901,-0.007459,-3.3978,3.0531,-89.833333,25.233333,0.101266,20,10,-0.01964,0.881139,0.334569,1.266961,3.662258,1.945261,0.285444,0.47069,0.061824,0.357516,2.067211,real
0.009901,-0.008806,-5.5798,2.1754,-58.68,19.74,0.174419,6.666667,6,-0.025243,0.904118,0.315356,1.650445,2.989807,2.249732,0.282319,0.478922,0.015645,0.395555,5.00527,real
0.009901,-0.009529,-6.3523,2.2284,-90.4,26.866667,0.15493,15.384615,8.666667,-0.02602,0.944085,0.345724,1.71843,3.527969,3.084215,0.246756,0.524266,0.028652,0.450613,4.304709,real
0.009901,-0.007834,-4.1198,3.0562,-65.425,22.025,0.148148,19.354839,7.75,-0.020468,0.879506,0.336587,1.353529,3.748961,7.062435,0.262581,0.617257,0.022195,0.341632,4.165834,real
0.009901,-0.009954,-5.643,1.7743,-84.866667,23.333333,0.139535,12.903226,10.333333,-0.027616,0.979286,0.353033,1.615346,3.509985,7.749598,0.257441,0.684703,0.022378,0.619216,2.520789,real
0.009901,-0.010283,-3.2119,0.7288,-77.266667,28.3,0.172414,10.344828,9.666667,-0.030845,0.905185,0.301698,1.26654,2.715013,2.076189,0.323138,0.382065,0.059243,0.723656,12.230187,real
0.009901,-0.009001,-5.8018,3.8262,-56.25,22,0.131868,8.823529,8.5,-0.024089,0.986778,0.36866,1.681139,3.903393,3.703259,0.242268,0.356957,0.007975,0.61866,3.291113,real
0.009901,-0.008546,-4.7761,0.604,-141.15,40.8,0.169014,13.636364,11,-0.027578,0.996,0.30866,1.704822,2.619674,4.06768,0.330443,0.630729,0.039058,0.525912,2.767172,real
0.019802,-0.00752,-3.0579,0.6628,-41.02,16.64,0.119565,10.344828,5.8,-0.023856,0.974253,0.307085,1.340978,2.635966,2.758907,0.346642,0.364369,0.013855,0.406063,1.418561,real
0.009901,-0.007931,-3.5157,2.2967,-93.5,25.566667,0.205479,0,8.333333,-0.023156,0.973472,0.333414,1.876141,3.090388,2.53296,0.309768,0.372605,0.071469,0.475852,4.563046,real
0.009901,-0.009119,-7.1181,1.6083,-75.9,19.725,0.166667,7.142857,7,-0.029316,0.964444,0.300039,2.240644,2.552791,2.272184,0.321239,0.367389,0.019687,0.603635,7.483553,real
0.009901,-0.009161,-5.5563,3.4605,-74.8,26.533333,0.164179,8.333333,8,-0.025575,0.990149,0.354671,2.075294,3.491358,2.70489,0.300095,0.446377,0.005626,0.82154,2.00042,real
0.009901,-0.008793,-4.965,3.657,-62.2,17.9,0.164384,17.241379,7.25,-0.022135,0.937534,0.372482,1.696048,4.564432,2.094665,0.230257,0.333656,0.018732,0.550516,3.006078,real
0.009901,-0.009115,-5.0033,2.8857,-61.625,22.475,0.195402,20.588235,8.25,-0.024029,0.915977,0.34743,1.749223,3.794437,2.86506,0.272481,0.415643,0.000285,0.449757,6.26309,real
0.009901,-0.010978,-7.1151,3.3994,-139.933333,26.4,0.142857,18.421053,12.666667,-0.028313,0.985417,0.382145,1.817424,4.39134,2.880316,0.207222,0.496155,0.00038,0.626042,6.222639,real
0.009901,-0.008625,-5.8249,3.0373,-36.68,15.08,0.166667,12.5,6.4,-0.02426,0.952778,0.338808,1.677254,3.299092,2.857805,0.30062,0.4405,0.017013,0.507004,4.283962,real
0.009901,-0.00911,-6.0823,3.4936,-46.5,22.425,0.155556,12.121212,8.25,-0.024842,0.975281,0.357636,1.727893,3.658218,4.292647,0.256832,0.386389,0.025387,0.463926,4.703742,real
0.009901,-0.01648,-12.2809,4.1192,-120.8,47.15,0.263889,12.5,16,-0.037082,0.964028,0.428414,3.139262,8.669315,8.453789,0.131943,0.822797,0.000226,0.607985,7.009197,real
0.009901,-0.008501,-5.9565,3.2224,-61.525,18.575,0.154762,22.580645,7.75,-0.023032,0.942439,0.34776,1.88619,3.597096,9.006661,0.280485,0.587078,0.003552,0.710001,3.002075,real
0.029703,-0.007474,-3.1915,1.9294,-51.325,22.875,0.158537,16.666667,7.5,-0.020432,0.504512,0.184601,0.710079,1.881104,1.602252,0.298333,0.36155,0.05624,0.31111,1.768031,real
